["in","LEFT"]
["out_1","RIGHT"]
["out_2","RIGHT"]
("in","mode 1",1,"in",1,"transmission")
(102, 3)
1.9721195785101009e+14 5.7940063118470483e-02 3.4640398940888173e+00
1.9733813312794612e+14 5.7979597019773302e-02 3.5222443584833174e+00
1.9746430840488216e+14 5.8019274895274836e-02 3.5806004070573678e+00
1.9759048368181819e+14 5.8058750670734710e-02 3.6390735030512449e+00
1.9771665895875419e+14 5.8097902374907327e-02 3.6976273779239635e+00
1.9784283423569022e+14 5.8136839278002471e-02 3.7562249534474641e+00
1.9796900951262625e+14 5.8175899575285170e-02 3.8148292655387155e+00
1.9809518478956228e+14 5.8215639036956944e-02 3.8734043571040604e+00
1.9822136006649831e+14 5.8256811402165126e-02 3.9319161098881987e+00
1.9834753534343434e+14 5.8300341605437934e-02 3.9903329888661361e+00
1.9847371062037038e+14 5.8347293179613381e-02 4.0486266770175066e+00
1.9859988589730638e+14 5.8398831373083389e-02 4.1067725833331803e+00
1.9872606117424241e+14 5.8456183643560700e-02 4.1647502125565774e+00
1.9885223645117844e+14 5.8520599239317683e-02 4.2225433913391370e+00
1.9897841172811447e+14 5.8593309546958947e-02 4.2801403520055707e+00
1.9910458700505050e+14 5.8675490770002087e-02 4.3375336816972192e+00
1.9923076228198653e+14 5.8768230306203269e-02 4.3947201509374869e+00
1.9935693755892256e+14 5.8872497920007781e-02 4.4517004412186694e+00
1.9948311283585856e+14 5.8989122471326483e-02 4.5084787956102179e+00
1.9960928811279459e+14 5.9118774580613528e-02 4.5650626192293497e+00
1.9973546338973062e+14 5.9261955205306985e-02 4.6214620573810414e+00
1.9986163866666666e+14 5.9418989700651625e-02 4.6776895780903445e+00
("in","mode 1",1,"out_1",1,"transmission")
(102, 3)
1.8737028625000000e+14 6.5651450785428545e-01 -2.0441601202887574e+00
1.8749646152693603e+14 6.5649708168405985e-01 -1.8477764877367817e+00
1.8762263680387206e+14 6.5647754423451388e-01 -1.6514030369502388e+00
1.8774881208080809e+14 6.5645630976448266e-01 -1.4550394613845326e+00
1.8787498735774409e+14 6.5643372797777055e-01 -1.2586854860074450e+00
1.8800116263468012e+14 6.5641009739016287e-01 -1.0623409071303360e+00
1.8812733791161616e+14 6.5638568384998575e-01 -8.6600561022218758e-01
1.8825351318855219e+14 6.5636073739151379e-01 -6.6967956660438999e-01
1.8837968846548822e+14 6.5633550193761825e-01 -4.7336281418486253e-01
1.8850586374242425e+14 6.5631021466603989e-01 -2.7705543022288814e-01
1.8863203901936028e+14 6.5628509460990547e-01 -8.0757505107746375e-02
1.8875821429629628e+14 6.5626032272780443e-01 1.1553087477627495e-01
1.8888438957323231e+14 6.5623601774864448e-01 3.1180962954548819e-01
1.8901056485016834e+14 6.5621221320576173e-01 5.0807867168997800e-01
1.8913674012710438e+14 6.5618884104737008e-01 7.0433787723082542e-01
1.8926291540404041e+14 6.5616572608748269e-01 9.0058704751729857e-01
1.8938909068097644e+14 6.5614259358200611e-01 1.0968258693808042e+00
1.8951526595791247e+14 6.5611908976821487e-01 1.2930538821988826e+00
1.8964144123484847e+14 6.5609481275833448e-01 1.4892704595960251e+00
1.8976761651178450e+14 6.5606934918712045e-01 1.6854748111742259e+00
1.8989379178872053e+14 6.5604231084800091e-01 1.8816660062665971e+00
1.9001996706565656e+14 6.5601336542875843e-01 2.0778430178650713e+00
1.9014614234259259e+14 6.5598225640119290e-01 2.2740047812902677e+00
1.9027231761952862e+14 6.5594880896354990e-01 2.4701502595007980e+00
1.9039849289646466e+14 6.5591292135001433e-01 2.6662785056719884e+00
1.9052466817340066e+14 6.5587454337635454e-01 2.8623887140434654e+00
1.9065084345033669e+14 6.5583364632665753e-01 3.0584802519919956e+00
1.9077701872727272e+14 6.5579018979996229e-01 3.2545526694834486e+00
1.9090319400420875e+14 6.5574409165231584e-01 3.4506056859460781e+00
1.9102936928114478e+14 6.5569520658838576e-01 3.6466391584862814e+00
1.9115554455808081e+14 6.5564331737219761e-01 3.8426530385601967e+00
1.9128171983501684e+14 6.5558814031022894e-01 4.0386473261320788e+00
1.9140789511195284e+14 6.5552934401815499e-01 4.2346220306423774e+00
1.9153407038888888e+14 6.5546657798296160e-01 4.4305771467005517e+00
1.9166024566582491e+14 6.5539950552714410e-01 4.6265126495243649e+00
1.9178642094276094e+14 6.5532783482707546e-01 4.8224285112744658e+00
1.9191259621969697e+14 6.5525134182973488e-01 5.0183247352394966e+00
1.9203877149663300e+14 6.5516988024853162e-01 5.2142014010789577e+00
1.9216494677356903e+14 6.5508337609578571e-01 5.4100587117076184e+00
1.9229112205050503e+14 6.5499180704815640e-01 5.6058970314286141e+00
1.9241729732744106e+14 6.5489516985320895e-01 5.8017169058337243e+00
1.9254347260437709e+14 6.5479344145007201e-01 5.9975190566975156e+00
1.9266964788131312e+14 6.5468654103570911e-01 6.1933043492081152e+00
1.9279582315824916e+14 6.5457430064038813e-01 6.3890737337226922e+00
1.9292199843518519e+14 6.5445645076318204e-01 6.5848281690069967e+00
1.9304817371212122e+14 6.5433262536834114e-01 6.7805685377610017e+00
1.9317434898905725e+14 6.5420238738260938e-01 6.9762955674338754e+00
